Match ID,Event,Date,Player,Team,Map,Rounds,Kills,Deaths,FK,FD,FK%K,FD%D,Rating
82120,IEM Katowice 2019,2019-03-02 15:10:00,s1mple,Natus Vincere,Mirage,30,32,19,4,1,12.5,5.263157894736842,1.51
82120,IEM Katowice 2019,2019-03-02 15:10:00,Edward,Natus Vincere,Mirage,30,21,20,4,3,19.047619047619047,15.0,1.06
82120,IEM Katowice 2019,2019-03-02 15:10:00,flamie,Natus Vincere,Mirage,30,16,22,3,5,18.75,22.727272727272727,0.89
82120,IEM Katowice 2019,2019-03-02 15:10:00,electronic,Natus Vincere,Mirage,30,16,19,1,3,6.25,15.789473684210526,0.83
82120,IEM Katowice 2019,2019-03-02 15:10:00,Zeus,Natus Vincere,Mirage,30,16,23,2,4,12.5,17.391304347826086,0.77
82120,IEM Katowice 2019,2019-03-02 15:10:00,xseveN,ENCE,Mirage,30,25,17,3,1,12.0,5.88235294117647,1.4
82120,IEM Katowice 2019,2019-03-02 15:10:00,Aerial,ENCE,Mirage,30,26,21,4,4,15.384615384615385,19.047619047619047,1.31
82120,IEM Katowice 2019,2019-03-02 15:10:00,sergej,ENCE,Mirage,30,19,20,3,3,15.789473684210526,15.0,1.13
82120,IEM Katowice 2019,2019-03-02 15:10:00,Aleksib,ENCE,Mirage,30,20,22,4,3,20.0,13.636363636363635,1.02
82120,IEM Katowice 2019,2019-03-02 15:10:00,allu,ENCE,Mirage,30,13,21,2,3,15.384615384615385,14.285714285714285,0.64
82119,IEM Katowice 2019,2019-03-02 15:10:00,s1mple,Natus Vincere,Dust2,19,18,4,3,0,16.666666666666664,0.0,1.89
82119,IEM Katowice 2019,2019-03-02 15:10:00,flamie,Natus Vincere,Dust2,19,18,9,4,2,22.22222222222222,22.22222222222222,1.75
82119,IEM Katowice 2019,2019-03-02 15:10:00,Edward,Natus Vincere,Dust2,19,17,6,2,0,11.76470588235294,0.0,1.67
82119,IEM Katowice 2019,2019-03-02 15:10:00,electronic,Natus Vincere,Dust2,19,15,7,5,1,33.33333333333333,14.285714285714285,1.66
82119,IEM Katowice 2019,2019-03-02 15:10:00,Zeus,Natus Vincere,Dust2,19,13,7,1,1,7.6923076923076925,14.285714285714285,1.3
82119,IEM Katowice 2019,2019-03-02 15:10:00,Aerial,ENCE,Dust2,19,13,15,3,4,23.076923076923077,26.666666666666668,0.97
82119,IEM Katowice 2019,2019-03-02 15:10:00,sergej,ENCE,Dust2,19,7,16,1,4,14.285714285714285,25.0,0.46
82119,IEM Katowice 2019,2019-03-02 15:10:00,Aleksib,ENCE,Dust2,19,6,16,0,0,0.0,0.0,0.39
82119,IEM Katowice 2019,2019-03-02 15:10:00,xseveN,ENCE,Dust2,19,4,18,0,4,0.0,22.22222222222222,0.22
82119,IEM Katowice 2019,2019-03-02 15:10:00,allu,ENCE,Dust2,19,2,16,0,3,0.0,18.75,0.17
82117,IEM Katowice 2019,2019-03-02 15:10:00,s1mple,Natus Vincere,Train,30,23,16,6,3,26.08695652173913,18.75,1.2
82117,IEM Katowice 2019,2019-03-02 15:10:00,Edward,Natus Vincere,Train,30,21,22,4,3,19.047619047619047,13.636363636363635,1.04
82117,IEM Katowice 2019,2019-03-02 15:10:00,flamie,Natus Vincere,Train,30,16,22,3,7,18.75,31.818181818181817,0.9
82117,IEM Katowice 2019,2019-03-02 15:10:00,Zeus,Natus Vincere,Train,30,16,20,1,1,6.25,5.0,0.86
82117,IEM Katowice 2019,2019-03-02 15:10:00,electronic,Natus Vincere,Train,30,13,24,0,2,0.0,8.333333333333332,0.64
82117,IEM Katowice 2019,2019-03-02 15:10:00,Aerial,ENCE,Train,30,21,20,5,1,23.809523809523807,5.0,1.36
82117,IEM Katowice 2019,2019-03-02 15:10:00,sergej,ENCE,Train,30,26,18,5,3,19.230769230769234,16.666666666666664,1.31
82117,IEM Katowice 2019,2019-03-02 15:10:00,xseveN,ENCE,Train,30,23,16,3,2,13.043478260869565,12.5,1.29
82117,IEM Katowice 2019,2019-03-02 15:10:00,allu,ENCE,Train,30,20,17,1,2,5.0,11.76470588235294,1.12
82117,IEM Katowice 2019,2019-03-02 15:10:00,Aleksib,ENCE,Train,30,14,18,2,6,14.285714285714285,33.33333333333333,0.87
82095,IEM Katowice 2019,2019-03-01 18:35:00,device,Astralis,Dust2,30,21,17,7,1,33.33333333333333,5.88235294117647,1.26
82095,IEM Katowice 2019,2019-03-01 18:35:00,Xyp9x,Astralis,Dust2,30,22,20,2,3,9.090909090909092,15.0,1.17
82095,IEM Katowice 2019,2019-03-01 18:35:00,Magisk,Astralis,Dust2,30,18,14,3,2,16.666666666666664,14.285714285714285,1.12
82095,IEM Katowice 2019,2019-03-01 18:35:00,dupreeh,Astralis,Dust2,30,20,22,6,4,30.0,18.181818181818183,1.02
82095,IEM Katowice 2019,2019-03-01 18:35:00,gla1ve,Astralis,Dust2,30,14,18,1,1,7.142857142857142,5.555555555555555,0.76
82095,IEM Katowice 2019,2019-03-01 18:35:00,REZ,NiP,Dust2,30,21,18,3,1,14.285714285714285,5.555555555555555,1.14
82095,IEM Katowice 2019,2019-03-01 18:35:00,f0rest,NiP,Dust2,30,19,14,2,2,10.526315789473683,14.285714285714285,1.14
82095,IEM Katowice 2019,2019-03-01 18:35:00,Lekr0,NiP,Dust2,30,16,20,3,5,18.75,25.0,0.91
82095,IEM Katowice 2019,2019-03-01 18:35:00,dennis,NiP,Dust2,30,18,21,3,7,16.666666666666664,33.33333333333333,0.86
82095,IEM Katowice 2019,2019-03-01 18:35:00,GeT_RiGhT,NiP,Dust2,30,17,22,0,4,0.0,18.181818181818183,0.81
82091,IEM Katowice 2019,2019-03-01 18:35:00,Magisk,Astralis,Mirage,18,23,8,6,0,26.08695652173913,0.0,1.94
