Name,Age,Nationality,Team,Rating,Total Kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Kills / Round,Maps played
Logan 'LOGAN' Corti,20,France,FrenchFrogs,1.02,6788,55.3,6833,0.99,71.4,0.65,394
Gábor 'gabesson' Málovics,29,Hungary,Budapest Five,0.97,7585,42.1,7782,0.97,76.4,0.69,418
Jason 'neptune' Tran,16,United States,Ghost,1.03,5668,54.7,5836,0.97,73.8,0.67,316
Sergey 'starix' Ischuk,31,Ukraine,OwmS,0.97,9784,47.0,9916,0.99,74.3,0.66,566
Sebastian 'seb' Bucki,28,United States,MASSIVEimpact,0.97,7631,46.1,7837,0.97,76.6,0.67,441
Marco 'Snappi' Pfeiffer,28,Denmark,OpTic,0.97,17754,44.1,18032,0.98,73.4,0.67,1013
Ricardo 'rmn' Oliveira,26,Portugal,Giants,0.97,7616,54.0,7811,0.98,75.4,0.68,436
Emil 'kUcheR' Akhundov,30,Russia,No team,0.97,14944,44.0,15089,0.99,74.2,0.67,852
Jesse 'KHRN' Grandell,29,Finland,SJ,0.97,10357,47.8,10480,0.99,71.5,0.65,616
Lucas 'YJ' Yuji,23,Brazil,W7M,1.02,6345,41.9,6244,1.02,71.8,0.63,383
Aurimas 'Kvik' Kvakšys,23,Lithuania,Winstrike,0.97,11492,42.3,11887,0.97,76.4,0.68,646
Kacper 'kaper' Słoma,23,Poland,AGO,1.03,5849,45.2,5914,0.99,72.1,0.65,344
Nikita 'Coffee' Antsypirovich,19,Belarus,5balls,1.06,5559,48.1,5773,0.96,79.8,0.68,315
Ashraf 'acAp' Firdaus,25,Malaysia,FrostFire,0.97,5613,48.4,5867,0.96,75.5,0.69,311
Ruan 'ELUSIVE' van Wyk,26,South Africa,No team,0.97,5926,43.8,5891,1.01,69.1,0.63,372
David 'Kairi' de Miguel,30,Spain,Heretics,0.97,6309,37.5,6467,0.98,74.6,0.66,374
Hugh 'stat' Anderson,19,Australia,Genuine,1.01,5087,51.3,5277,0.96,73.1,0.66,300
Min-Soo 'glow' Kim,31,Korea,No team,1.02,6042,52.0,6062,1.00,69.5,0.64,370
Stephen 'reltuC' Cutler,30,United States,No team,0.97,14184,40.3,14253,1.00,73.4,0.65,831
Peter 'Inzta' Kragelund,26,Denmark,STEPxHYDR,0.96,11607,44.1,12082,0.96,74.3,0.66,669
Pål 'Polly' Kammen,28,Norway,Apeks,0.96,6758,40.2,6992,0.97,67.7,0.66,395
Alexandre 'bodyy' Pianaro,22,France,No team,0.96,13070,55.4,13444,0.97,71.9,0.65,760
Edouard 'SmithZz' Dubourdeaux,30,France,No team,0.96,19726,41.4,20269,0.97,66.1,0.65,1161
Caike 'caike' Costa,24,Brazil,Falkol,0.96,5470,41.7,5633,0.97,71.7,0.65,326
Guilherme 'spacca' Spacca,29,Brazil,No team,0.96,4628,28.7,4613,1.00,64.4,0.62,291
Catalin-Ionut 'BTN' Stanescu,29,Romania,Nexus,0.96,10022,54.4,10463,0.96,76.6,0.68,578
Lasse 'maeVe' Elgaard,29,Denmark,No team,0.96,8145,40.5,8280,0.98,72.4,0.65,486
Asger 'AcilioN' Larsen,22,Denmark,No team,0.96,18114,42.5,18618,0.97,72.2,0.66,1058
Kia 'Surreal' Man,22,United Kingdom,Epsilon,0.96,10022,38.8,10354,0.97,72.0,0.66,594
Mathieu 'Maniac' Quiquerez,28,Switzerland,No team,0.96,14339,39.4,14767,0.97,74.2,0.66,830
Michael 'Uber' Stapells,22,Canada,No team,0.96,6643,50.1,6931,0.96,73.9,0.67,395
Gabriel 'NEKIZ' Schenato,23,Brazil,Luminosity,0.96,8725,48.9,9211,0.95,74.5,0.67,501
Robin 'r0bs3n' Stephan,26,Germany,No team,0.96,4846,43.0,5027,0.96,75.3,0.67,282
Tahsin 'tahsiN' Broschk,28,Germany,Berzerk,0.96,9630,44.8,10170,0.95,73.0,0.67,551
Michał 'SOON' Wójcicki,23,Poland,No team,0.96,5336,28.7,5460,0.98,65.2,0.66,311
Engin 'MAJ3R' Küpeli,28,Turkey,LDLC,0.96,11318,49.5,11601,0.98,73.7,0.65,676
Bold 'ncl' Batsuh,24,Mongolia,ex-Storm Riders,0.96,5510,49.7,5601,0.98,71.6,0.65,335
Lukas 'ecfN' Kauer,23,Germany,Planetkey,0.96,6853,54.0,7184,0.95,75.7,0.66,391
Max 'quix' Lindkvist,26,Sweden,The Final Tribe,0.96,9563,47.6,10299,0.93,77.5,0.70,523
Alexander 'alexRr' Frisch,23,Germany,No team,0.96,7029,40.3,7530,0.93,72.9,0.66,408
Luka 'emi' Vuković,25,Serbia,No team,0.96,13874,52.1,14419,0.96,74.7,0.66,818
Oliver 'kzy' Heck,28,Germany,Unicorns of Love,0.96,14344,47.1,14790,0.97,73.6,0.65,849
Miran 'dumz' Matković,23,Sweden,No team,0.95,7789,48.4,8091,0.96,71.3,0.65,450
Tony 'arvid' Niemelä,22,Finland,SJ,0.95,8664,43.4,9170,0.94,74.7,0.66,489
Lambert 'Lambert' Prigent,27,France,No team,0.95,5082,31.9,5186,0.98,65.5,0.63,312
Matias 'tutehen' Canale,26,Argentina,No team,0.95,6147,45.9,6337,0.97,72.0,0.64,370
Alfred 'RuStY' Karlsson,21,Sweden,Ancient,1.01,9561,52.1,10055,0.95,72.9,0.66,546
Renato 'nak' Nakano,31,Brazil,Sharks,0.95,5666,44.9,5869,0.97,73.2,0.64,351
David 'Jayzwalkingz' Kempner,22,Sweden,EsportsAdviser,0.95,5508,32.5,5713,0.96,70.0,0.64,319
Connor 'CONNOR93' Glover,25,Canada,MASSIVEimpact,0.95,7728,51.7,8176,0.95,72.8,0.67,448
Dmitry 'S0tF1k' Forostyanko,24,Russia,Spirit,0.95,15625,47.5,16469,0.95,73.7,0.65,914
Viktor 'flash' Tamás Bea,23,Hungary,Salamander,0.95,9142,42.2,9561,0.96,73.0,0.65,532
Alexander 'uNdo' Kiziukevich,24,Belarus,Unique,0.95,6420,54.8,6685,0.96,70.7,0.65,378
Daniel 'DANZ' Whitfield,25,Australia,ex-AVANT,0.95,5247,42.2,5610,0.94,72.3,0.67,298
Christophe 'SIXER' Xia,28,France,LDLC,0.95,8559,39.7,8759,0.98,67.2,0.63,523
Igor 'dERZKIY' Radosavlevich,22,Belarus,Zorka,0.95,5400,53.6,5712,0.95,73.3,0.67,314
Robin 'ScrunK' Röpke,23,Germany,expert,0.95,7049,46.3,7605,0.93,76.2,0.66,405
Anton 'boX' Burko,24,Belarus,Nemiga,1.03,6767,38.7,7152,0.95,74.2,0.66,392
Andy 'vSa' Xu,24,Canada,No team,0.95,6048,42.4,6307,0.96,70.6,0.63,365
Krzysztof 'stark' Lewandrowski,20,Poland,AVEZ,0.95,4993,49.2,5300,0.94,73.8,0.67,282
Mads 'Console' Skovby,23,Denmark,Copenhagen Flames,0.95,10565,39.4,11098,0.95,73.8,0.64,627
Samuel 'SileNt' Portillo,24,United States,Old Guys Club,0.95,10361,35.7,11017,0.94,71.2,0.67,599
Nikolaj 'holzt' Holst,24,Denmark,GoldenGitte,0.95,5210,51.6,5538,0.94,75.1,0.66,300
David 'Toy' Han,24,United States,No team,0.95,5400,44.6,5707,0.95,72.9,0.65,322
Christian 'crisby' Schmitt,27,Germany,Unicorns of Love,0.95,18181,54.1,19359,0.94,72.6,0.66,1049
Pavel 'hutji' Lashkov,23,Russia,No team,0.95,5958,47.1,6318,0.94,73.2,0.65,346
QiFang 'Karsa' Su,27,China,OneThree,0.95,5632,47.8,5830,0.97,70.9,0.63,351
Hendrik 'strux1' Goetzendorff,28,Germany,No team,0.95,6648,36.3,6894,0.96,76.0,0.65,403
Eetu 'sAw' Saha,26,Finland,HAVU,0.95,13469,47.5,14112,0.95,71.4,0.64,800
Epitacio 'TACO' de Melo,24,Brazil,MIBR,0.95,14103,49.8,14529,0.97,67.7,0.62,886
Kevin 'kRYSTAL' Amend,25,Germany,NoChance,0.94,21979,36.0,23143,0.95,68.9,0.63,1334
Kévin 'Ex6TenZ' Droolans,29,Belgium,GamerLegion,0.94,21973,41.5,22859,0.96,75.8,0.63,1345
James 'James' Quinn,25,Australia,No team,0.94,5597,47.7,5998,0.93,73.6,0.66,324
Dimitrios 'stavros' Smoilis,26,Germany,No team,0.94,6023,51.5,6561,0.92,72.1,0.67,351
Vladyslav 'arch' Svistov,22,Ukraine,No team,0.94,10057,49.0,10687,0.94,72.9,0.66,579
Jay 'soju_j' Jeong,21,New Zealand,AVANT,1.00,4537,39.7,4853,0.93,72.5,0.64,276
Anton 'tonyblack' Kolesnikov,26,Russia,OwmS,0.94,12743,48.2,13445,0.95,69.5,0.64,762
Frederik 'LOMME' Nielsen,25,Denmark,No team,0.94,10221,42.5,10753,0.95,72.0,0.63,623
Alexey 'ub1que' Polivanov,27,Russia,No team,0.94,8319,41.8,8815,0.94,73.3,0.66,491
Karol 'repo' Cybulski,22,Poland,No team,0.94,8534,46.6,9148,0.93,69.5,0.65,497
Maciek 'Luz' Bugaj,25,Poland,Codewise Unicorns,0.94,8528,47.8,9109,0.94,74.0,0.65,503
Felix 'fel1x' Zech,31,Germany,No team,0.94,4861,54.2,5284,0.92,61.6,0.64,301
Shawn 'witmer' Taylor,23,United States,No team,0.94,4688,36.7,5040,0.93,70.7,0.65,278
Finn 'karrigan' Andersen,29,Denmark,mousesports,0.94,23511,41.0,25106,0.94,68.2,0.64,1418
Gustav 'ZINKEN' Björk,21,Sweden,nerdRage,0.99,4954,53.9,5237,0.95,71.0,0.64,290
Maikil 'Golden' Selim,25,Sweden,Cloud9,0.98,7755,52.9,8419,0.92,71.6,0.64,455
Teodor 'psycho' Dimov,27,Bulgaria,No team,0.94,4718,46.5,5086,0.93,69.6,0.65,276
Lei 'forget' Li,29,China,No team,0.94,7723,50.3,8457,0.91,75.3,0.67,442
Igor 'crush' Shevchenko,23,Ukraine,Vega Squadron,0.93,7937,52.9,8528,0.93,72.4,0.64,475
Konrad 'EXUS' Jeńczeń,21,Poland,2019,0.93,8535,45.2,9234,0.92,72.0,0.65,499
Max 'MiGHTYMAX' Heath,21,United Kingdom,Endpoint,0.93,6287,47.5,6756,0.93,69.5,0.62,390
Tugay 'TuGuX' Keskin,27,Germany,No team,0.93,5611,50.0,5919,0.95,69.5,0.62,349
Sergey 'keshandr' Nikishin,25,Russia,No team,0.93,5336,47.7,5730,0.93,73.9,0.66,311
Georgio 'sK' Poumpoulidis,21,Australia,Rise and Grind,1.00,5804,40.1,6410,0.91,76.5,0.66,340
Matthieu 'matHEND' Roquigny,24,France,chebran,0.93,5499,40.9,6060,0.91,72.1,0.65,326
Kirill 'hitMouse' Tsarev,28,Belarus,No team,0.93,7834,48.6,8354,0.94,71.4,0.63,475
Juan 'meisoN' Carlos Chacón,30,Spain,Dragons,0.93,5334,52.4,5881,0.91,78.2,0.68,304
Alec 'Noisia' Gulabovski,23,Australia,ex-Breakaway,0.98,7235,44.0,7787,0.93,72.1,0.64,440
Mikko 'xartE' Välimaa,27,Finland,SJ,0.93,13104,37.2,14016,0.93,69.2,0.61,815
Nikolay 'pNshr' Paunin,27,Bulgaria,No team,0.92,9721,43.3,10469,0.93,71.2,0.63,588
Engin 'ngiN' Kor,25,Turkey,No team,0.92,10333,43.3,10951,0.94,66.8,0.60,665
Valentin 'mistou' Balbastro,25,France,No team,0.92,5229,51.4,5669,0.92,69.1,0.63,314
David 'Xp3' Garrido,31,France,No team,0.92,8326,39.7,9118,0.91,70.5,0.63,502
Jan 'wayLander' Rahkonen,25,Russia,No team,0.92,9727,52.1,10858,0.90,71.6,0.65,576
Danylo 'Zeus' Teslenko,31,Ukraine,Natus Vincere,0.92,22743,43.3,24601,0.92,70.2,0.63,1359
Karol 'tecek' Kapczyński,26,Poland,Izako Boars,0.92,5906,37.7,6619,0.89,74.0,0.64,345
Arya 'arya' Hekmat,26,United States,No team,0.92,7192,34.9,8037,0.89,72.6,0.65,434
Oleksandr 'Shara' Hordieyev,26,Ukraine,spray'n'pray,0.92,6208,51.9,6848,0.91,75.2,0.64,371
Nikola 'LEGIJA' Ninić,28,Germany,No team,0.92,13915,49.9,15413,0.90,70.3,0.64,842
Pavel 'AERO' Surmach,30,Russia,No team,0.91,4833,45.5,5380,0.90,71.6,0.65,287
Warren 'hades' Rettich,28,Canada,No team,0.91,4533,42.1,5057,0.90,71.7,0.65,274
Roman 'roman' Redihin,30,Belarus,Zorka,0.91,6606,55.0,7222,0.91,69.9,0.63,401
Mathias 'MSL' Lauridsen,24,Denmark,OpTic,0.91,24181,42.0,27141,0.89,71.0,0.64,1449
Gaëtan 'JiNKZ' Jamin,24,France,FrenchFrogs,0.99,6004,53.3,6641,0.90,70.9,0.61,373
Gregory 'balblna' Oleinick,23,Russia,No team,0.91,8805,49.8,9772,0.90,71.5,0.62,540
Jonathan 'MusambaN1' Torrent,32,Spain,No team,0.91,4963,37.8,5456,0.91,68.1,0.64,300
Verneri 'BONA' Junkala,19,Finland,Conquer,0.91,5691,50.0,6325,0.90,69.6,0.63,340
Dmitry 'hooch' Bogdanov,32,Russia,OwmS,0.90,13549,41.8,15110,0.90,71.5,0.62,838
Alexander 'LeX' Deily,28,United States,Mythic,0.90,6003,44.2,6846,0.88,73.2,0.64,368
Zhuo 'advent' Liang,26,China,ViCi,0.90,10398,50.6,11284,0.92,63.7,0.58,706
André 'Kirby' Kempa,28,Germany,Unicorns of Love,0.90,5110,60.6,5810,0.88,68.0,0.63,318
Jason 'jasonR' Ruchelski,24,Canada,No team,0.90,4766,44.4,5350,0.89,73.4,0.63,289
Nikolay 'nkl' Krastev,25,Bulgaria,No team,0.90,9990,42.9,11036,0.91,68.3,0.60,642
Mariusz 'Loord' Cybulski,32,Poland,No team,0.90,5788,41.2,6394,0.91,48.5,0.61,369
Simon 'Fuks' Florysiak,24,France,chebran,0.90,4410,45.6,4947,0.89,72.0,0.61,273
Yaroslav 'It's my' Ushkov,23,Russia,No team,0.90,4910,45.0,5654,0.87,72.4,0.65,290
Ilya 'fix' Golovko,21,Ukraine,No team,0.89,5350,48.8,6137,0.87,72.9,0.63,325
Nicolai 'torben' Amorim,23,Denmark,ex-Fragsters,0.94,7467,50.0,8388,0.89,66.5,0.59,481
Ellis 'els' Clay,31,Canada,subtLe,0.89,4892,42.2,5608,0.87,73.7,0.64,295
Pujan 'FNS' Mehta,27,Canada,No team,0.89,12585,45.5,14124,0.89,67.6,0.61,781
Michael 'MAiNLiNE' Jaber,24,United States,No team,0.89,6904,51.7,7968,0.87,69.1,0.62,437
Adam 'Polen' Polen,23,United States,Mythic,0.89,4449,53.7,5100,0.87,70.2,0.61,279
Markus 'pronax' Wallsten,27,Sweden,No team,0.89,18722,45.8,20989,0.89,64.7,0.60,1199
LiKan 'ryk' Luo,32,China,No team,0.89,4259,39.2,4778,0.89,67.9,0.62,275
Dennis 'sycrone' Nielsen,23,Denmark,LPSP,0.89,6953,40.2,7827,0.89,69.8,0.60,442
Alexander 'spiker' Ivanov,24,Russia,Monolith,0.89,6494,43.4,7516,0.86,70.7,0.62,399
Danny 'BERRY' Krüger,29,Denmark,Ambush,0.89,9663,37.9,11207,0.86,72.9,0.63,593
Damian 'daps' Steele,25,Canada,NRG,0.88,12426,39.0,14188,0.88,67.2,0.58,826
Sean 'seang@res' Gares,30,United States,Old Guys Club,0.88,10904,40.2,12533,0.87,67.4,0.59,713
Raymond 'Dezibel' Odisho,23,Australia,Athletico,0.93,5196,37.1,5969,0.87,68.3,0.59,344
Kyle 'flowsicK' Mendez,28,United States,No team,0.87,6257,47.4,7304,0.86,73.6,0.62,395
Dima 'def' Lemeshchuk,24,Ukraine,HOLLYWOOD,0.87,8761,41.6,10231,0.86,67.8,0.59,570
Daniel 'djL' Narancic,25,Sweden,Chaos,0.92,7653,46.3,8825,0.87,63.2,0.57,514
Jonatan 'Devilwalk' Lundberg,28,Sweden,MAGICIANS,0.86,6122,51.3,7223,0.85,69.8,0.58,400
Morten 'zEVES' Vollan,28,Norway,No team,0.86,4586,48.4,5470,0.84,72.6,0.60,289
Fatih 'gob b' Dayik,31,Germany,BIG,0.85,14088,48.6,16734,0.84,67.1,0.56,946
Slaava 'Twista' Räsänen,31,Finland,No team,0.85,5863,35.9,7012,0.84,67.4,0.59,380
Alec 'Slemmy' White,28,United States,No team,0.85,6638,49.6,7951,0.83,63.7,0.57,445
Egor 'LONSDALE' Baranov,26,New Zealand,No team,0.85,5551,42.0,6754,0.82,71.7,0.59,368
Manuel 'SolEk' Zeindler,31,Switzerland,Berzerk,0.85,5354,49.2,6560,0.82,61.1,0.59,359
Thomas 'haste' Dyrensborg,28,Denmark,GoldenGitte,0.84,4346,44.6,5356,0.81,68.2,0.57,292
Andrey 'B1ad3' Gorodenskiy,32,Ukraine,No team,0.83,13472,41.9,16880,0.80,66.5,0.58,899
Nicolai 'HUNDEN' Petersen,27,Denmark,Tricked,0.81,19101,48.3,24247,0.79,65.7,0.55,1330
Kyle 'OCEAN' O'Brien,32,Canada,subtLe,0.77,4768,44.0,6517,0.73,60.2,0.52,355
