Name,Age,Nationality,Team,Rating,Total Kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Kills / Round,Maps played
Mike 'ap0c' Aliferis,31,Australia,AVANT,1.02,8367,49.1,8156,1.03,77.4,0.72,457
Kitsada 'bnwGiggs' Pookamroong,22,Thailand,Beyond,1.02,5464,42.3,5360,1.02,78.8,0.72,295
Ivan 'spaze' Obrezhan,21,Russia,No team,1.02,10220,52.0,10119,1.01,76.1,0.73,534
Paweł 'byali' Bieliński,25,Poland,No team,1.02,26226,50.8,24924,1.05,77.1,0.70,1433
Dominik 'GruBy' Swiderski,24,Poland,AGO,1.02,20833,42.8,20189,1.03,79.7,0.70,1129
Nahuel 'Straka' Vazquez,22,Argentina,Good Fellas,1.02,4963,43.9,4860,1.02,79.0,0.70,280
Sam 'flickz' Jones,28,Australia,No team,1.09,7812,48.4,7430,1.05,79.3,0.69,449
Baskoro 'roseau' Dwi Putra,25,Indonesia,Recca,1.02,6913,40.3,6800,1.02,78.6,0.72,382
Alex 'aproto' Protopapas,19,United States,ex-Zone,1.05,6094,57.3,5983,1.02,75.2,0.72,323
Nicolás 'Noktse' Dávila,26,Argentina,Isurus,1.08,7220,35.8,6783,1.06,73.1,0.68,414
Cameron 'hydrex' Kern,21,United States,Singularity,1.09,5372,51.5,5109,1.05,77.8,0.69,307
Fabien 'kioShiMa' Fiey,24,France,No team,1.02,20780,50.4,19498,1.07,75.3,0.68,1170
Brandon 'Ace' Winn,24,United States,No team,1.06,7922,31.4,7352,1.08,68.5,0.67,456
Victor 'bld' Rocha,27,Brazil,Falkol,1.08,5475,46.0,5363,1.02,80.2,0.72,293
Josh 'oSee' Ohm,19,United States,Singularity,1.07,6496,32.0,6186,1.05,72.1,0.69,372
Lucas 'Bubzkji' Andersen,20,Denmark,Tricked,1.02,7741,52.0,7463,1.04,78.8,0.70,421
Michael 'Grim' Wince,18,United States,Spacestation,1.07,6045,46.7,5997,1.01,76.4,0.70,334
Aleksi 'Aleksib' Virolainen,22,Finland,ENCE,1.02,9582,38.0,9133,1.05,78.0,0.69,532
Jordan 'n0thing' Gilbert,28,United States,No team,1.02,14703,52.7,14216,1.03,74.9,0.70,812
Emiliyan 'spyleadeR' Dimitrov,29,Bulgaria,No team,1.02,16650,42.3,16446,1.01,81.5,0.73,885
Alexander 'SKYTTEN' Carlsson,26,Sweden,No team,1.02,7087,45.2,6759,1.05,79.8,0.70,382
Jesper 'TENZKI' Plougmann,24,Denmark,Nordavind,1.02,16733,52.3,15938,1.05,76.7,0.69,936
Denis 'dzt' Fischer,22,Brazil,ex-Imperial,1.01,7499,45.9,7301,1.03,77.4,0.70,417
Aleksandr 'mds' Rubets,20,Belarus,Nemiga,1.05,8494,52.8,8213,1.03,75.3,0.70,454
Derek 'desi' Branchen,26,United States,No team,1.01,5943,51.7,5851,1.02,75.7,0.72,325
Mohammed 'MoeycQ' Tizani,26,Australia,Ground Zero,1.01,8424,38.3,8154,1.03,74.8,0.70,471
Alejandro 'mopoz' Fernández-Quejo Cano,22,Spain,Movistar Riders,1.01,6109,51.4,6012,1.02,76.2,0.69,340
Joachim 'darti' Fornstedt,26,Sweden,No team,1.01,5594,44.7,5434,1.03,78.4,0.71,305
Jireh 'J1rah' Youakim,19,Australia,No team,1.05,5395,45.8,5266,1.02,75.2,0.70,299
Damian 'Furlan' Kislowski,24,Poland,AGO,1.01,24316,53.5,23909,1.02,78.5,0.70,1320
Chad 'Oderus' Miller,19,United States,Spacestation,1.05,7127,34.1,7084,1.01,72.9,0.72,383
Nils 'k1to' Gruhne,20,Germany,Epsilon,1.07,8281,58.1,8208,1.01,77.7,0.71,446
Mitch 'mitch' Semago,22,United States,Bad News Bears,1.01,10479,44.8,10067,1.04,77.7,0.69,592
Magnus 'fr0slev' Frøslev,21,Denmark,ex-Fragsters,1.07,5108,49.8,4935,1.04,76.5,0.70,284
Dmitriy 'facecrack' Alekseyev,25,Russia,forZe,1.01,17080,47.4,17017,1.00,80.3,0.72,910
Lukas 'gla1ve' Rossander,23,Denmark,Astralis,1.01,20540,46.9,19724,1.04,77.2,0.68,1155
Jacob 'FugLy' Medina,24,United States,Envy,1.01,16867,42.9,16155,1.04,73.9,0.68,962
Teodor 'SPELLAN' Nikolov,21,Bulgaria,Epsilon,1.06,13220,40.2,12700,1.04,76.7,0.68,757
Ollie 'DickStacy' Tierney,22,Australia,Grayhound,1.08,8644,49.5,8330,1.04,74.0,0.68,507
Joao 'KILLDREAM' Ferreira,26,Portugal,Giants,1.01,6956,44.3,6879,1.01,84.3,0.71,376
Evgeny 'fenvicious' Mitsik,24,Russia,Unique,1.01,8996,52.4,8811,1.02,77.1,0.70,490
Aaron 'AZR' Ward,26,Australia,Renegades,1.01,14012,51.8,13775,1.02,76.4,0.70,766
Noah 'Nifty' Francis,21,United States,Envy,1.01,12687,36.1,12342,1.03,70.1,0.68,713
Timo 'Spiidi' Richter,23,Germany,Sprout,1.01,20253,40.2,19390,1.04,74.6,0.68,1141
Chris 'emagine' Rowlands,28,Australia,ORDER,1.01,10463,45.6,10011,1.05,73.8,0.69,606
Ioann 'Edward' Sukhariev,31,Ukraine,Natus Vincere,1.01,24497,50.8,23604,1.04,72.2,0.69,1345
Michael 'Friis' Jørgensen,30,Denmark,No team,1.01,16285,26.3,15534,1.05,69.4,0.67,934
Paweł 'innocent' Mocek,25,Poland,x-kom,1.01,19126,46.1,18718,1.02,77.4,0.70,1050
Warittorn 'RoLEX' Kalanukarn,18,Thailand,Beyond,1.07,6286,49.9,6176,1.02,78.7,0.70,351
Sami 'xseveN' Laasanen,24,Finland,ENCE,1.01,14244,45.8,13869,1.03,79.3,0.69,789
Nicklas 'gade' Gade,24,Denmark,North,1.01,9580,53.9,9422,1.02,74.3,0.68,547
Antoine 'to1nou' Pirard,23,Belgium,chebran,1.01,15075,30.5,14552,1.04,68.8,0.68,843
Skyler 'Relyks' Weaver,24,United States,No team,1.01,11699,52.0,11569,1.01,75.2,0.69,665
Alex 'ALEX' McMeekin,23,United Kingdom,Vitality,1.01,14675,48.6,14703,1.00,77.8,0.71,780
Ryan 'freakazoid' Abadir,26,United States,Ghost,1.01,13176,46.7,12999,1.01,79.4,0.70,733
Min-Seok 'zeff' Park,30,Korea,MVP PK,1.01,7796,41.8,7667,1.02,78.4,0.69,445
Çağatay 'DESPE' Sedef,26,Turkey,No team,1.01,8068,29.8,7748,1.04,68.7,0.67,468
Peng 'xiaosaGe' Song,29,China,5POWER,1.08,9623,47.3,9500,1.01,80.1,0.71,520
Krzysiek 'Goofy' Gorski,18,Poland,No team,1.08,6435,42.1,6480,0.99,79.2,0.71,342
Daniel 'urbz' Urbani,25,Australia,SYF,1.01,5433,47.8,5316,1.02,74.7,0.69,301
Eimantas 'pounh' Lazickas,22,Lithuania,GameAgents,1.04,6053,49.2,6006,1.01,76.1,0.69,332
Ufuk 'SasuKe' Göktaş,22,Turkey,Arena Bulls,1.00,5831,54.8,5863,0.99,79.7,0.71,314
Nemanja 'k1Ng0r' Bošković,30,Serbia,No team,1.00,6094,42.9,6008,1.01,76.1,0.71,338
Haakon 'Radifaction' Tholo,20,Norway,Nordavind,1.05,5282,48.9,5229,1.01,77.4,0.70,289
Rory 'dephh' Jackson,27,United Kingdom,compLexity,1.00,13403,47.5,13476,0.99,81.3,0.72,715
Caio 'zqkS' Fonseca,27,Brazil,ex-Imperial,1.00,8385,29.8,7968,1.05,70.5,0.66,492
Robin 'robiin' Sjögren,24,Sweden,No team,1.00,16140,47.9,16144,1.00,83.1,0.71,856
Mike 'mikeS' Tuns,27,Netherlands,No team,1.00,5373,37.3,5190,1.04,68.7,0.67,306
Karlo 'USTILO' Pivac,25,Australia,ICON,1.00,11747,45.7,11778,1.00,77.0,0.70,654
Martin 'PERCY' Wessel,24,Denmark,LPSP,1.00,12805,58.3,12728,1.01,75.8,0.69,695
Jerry 'xelos' Råberg,26,Sweden,No team,1.00,7051,47.8,6968,1.01,78.3,0.70,383
Kirill 'ANGE1' Karasiow,29,Ukraine,HellRaisers,1.00,28740,51.1,28891,0.99,81.6,0.71,1566
Richard 'Xizt' Landström,28,Sweden,fnatic,1.00,26092,47.0,24997,1.04,72.0,0.68,1504
Timo 'REFLEX' Rintala,28,Finland,No team,1.00,5358,46.4,5239,1.02,73.7,0.69,307
Daniel 'vice' Kim,23,United States,Cloud9,1.00,8145,49.3,7946,1.03,76.5,0.69,459
Jacob 'pyth' Mourujärvi,25,Sweden,The Final Tribe,1.00,13068,56.1,13024,1.00,70.3,0.69,719
Jean-Michel 'mch' D'Oliveira,29,Brazil,No team,1.00,6043,41.7,5743,1.05,74.7,0.67,352
Nicolai 'glace' Jensen,25,Denmark,No team,1.00,10395,52.2,10029,1.04,74.4,0.68,589
Aleksey '1uke' Zimin,26,Russia,No team,1.00,10615,26.4,10409,1.02,71.5,0.68,601
Anthony 'ImpressioN' Lim,23,Singapore,BTRG,1.00,8073,47.7,8002,1.01,77.4,0.69,458
Eric 'adreN' Hoag,29,United States,No team,1.00,10456,35.4,10075,1.04,76.8,0.67,597
Kory 'SEMPHIS' Friesen,30,Canada,Old Guys Club,1.00,14435,36.2,14358,1.01,73.7,0.71,789
Oskar 'oskarish' Stenborowski,21,Poland,x-kom,1.00,9948,50.7,9776,1.02,74.2,0.68,550
James 'hazed' Cobb,29,United States,Mythic,1.00,12311,49.8,12373,0.99,78.2,0.69,684
Yanko 'blocker' Panov,22,Bulgaria,Windigo,1.08,10241,48.3,10196,1.00,78.4,0.70,555
Peter 'pecks' Nguyen,21,Australia,Fighting 4 Freedom,1.00,6527,45.9,6342,1.03,72.5,0.67,382
Anupong 'stk' Mueangngam,22,Thailand,Alpha Red,1.07,6254,42.0,6142,1.02,76.7,0.68,365
Andreas 'MODDII' Fridh,29,Sweden,No team,1.00,19710,52.2,19307,1.02,74.7,0.67,1123
Kevin 'Barcode' Bana,19,Hungary,Budapest Five,1.00,5999,50.7,6094,0.98,73.9,0.70,326
Christian 'rezex' Bjerregaard,23,Denmark,No team,1.00,4980,46.2,4930,1.01,77.9,0.68,279
Piotr 'peet' Ćwikliński,28,Poland,No team,1.00,6788,34.0,6691,1.01,71.0,0.68,379
David 'DAVEY' Stafford,23,Canada,Spacestation,1.00,10389,40.7,10447,0.99,78.1,0.69,590
Reece 'Puls3' Marrs,25,United Kingdom,Endpoint,1.00,6798,43.3,6687,1.02,74.6,0.68,377
Tomasz 'ToM223' Richter,21,Poland,2019,1.04,6308,44.8,6205,1.02,75.0,0.68,349
Lucas 'Lukki' Pilheden,19,Denmark,No team,1.00,11160,50.9,11068,1.01,73.1,0.67,633
ZhiTao 'Drea3er' Zhang,24,China,BTRG,1.04,5363,51.9,5446,0.98,76.4,0.70,299
Jhonatan 'jnt' Silva,24,Brazil,Sharks,1.04,4854,35.5,4698,1.03,70.3,0.66,289
Tizian 'tiziaN' Feldbusch,22,Germany,BIG,1.00,17782,57.8,17537,1.01,75.2,0.67,1012
Fredrik 'freddieb' Buö,24,Sweden,Ancient,1.00,16403,53.1,16250,1.01,77.3,0.69,904
Linus 'Bååten' Andersson,19,Sweden,Chaos,0.99,11194,56.7,11199,1.00,74.2,0.67,624
Adam 'friberg' Friberg,27,Sweden,Heroic,0.99,24904,47.2,24696,1.01,72.9,0.68,1446
